17:42:44 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
10152	16675	17445	1375	1234	4147	4096	274	4096
10151	16676	17448	1377	1238	4094	4108	274	4108
10151	16677	17450	1378	1240	4067	4105	274	4105
10154	16678	17449	1375	1236	4099	4095	274	4095
10151	16676	17448	1377	1238	4094	4096	275	4096
10151	16676	17448	1377	1238	4094	4096	275	4096
10152	16676	17448	1376	1237	4096	4095	275	4095
10151	16675	17447	1376	1237	4096	4096	275	4096
10151	16676	17448	1377	1238	4094	4096	275	4096
10150	16676	17449	1379	1240	4089	4095	275	4095
10152	16677	17449	1377	1238	4094	4094	275	4094
10152	16677	17449	1377	1238	4094	4094	275	4094
10152	16677	17448	1377	1237	4118	4094	275	4094
10151	16675	17447	1376	1237	4096	4100	274	4100
10152	16676	17448	1376	1237	4096	4099	274	4099
10152	16676	17448	1376	1237	4096	4098	274	4098
10152	16677	17449	1377	1238	4094	4097	275	4097
10151	16676	17448	1377	1238	4094	4097	275	4097
10151	16677	17449	1378	1239	4092	4096	275	4096
10153	16679	17451	1377	1239	4070	4095	275	4095
10152	16676	17448	1376	1237	4096	4089	275	4089
10152	16676	17448	1376	1237	4096	4090	275	4090
10153	16678	17450	1376	1238	4072	4092	275	4092
10152	16676	17448	1376	1237	4096	4087	275	4087
10150	16675	17448	1378	1239	4092	4089	275	4089
10151	16676	17449	1377	1239	4070	4090	275	4090
10152	16677	17448	1377	1237	4118	4085	275	4085
10150	16675	17448	1378	1239	4092	4093	275	4093
10153	16678	17450	1376	1238	4072	4093	275	4093
10152	16677	17448	1377	1237	4118	4088	275	4088
10151	16675	17448	1376	1238	4072	4095	275	4095
10152	16676	17449	1376	1238	4072	4089	275	4089
10153	16678	17450	1376	1238	4072	4085	275	4085
10152	16676	17448	1376	1237	4096	4082	275	4082
10155	16679	17449	1375	1235	4123	4085	275	4085
10152	16676	17449	1376	1238	4072	4095	275	4095
10155	16679	17449	1375	1235	4123	4089	275	4089
10150	16674	17446	1377	1237	4118	4098	275	4098
10151	16676	17449	1377	1239	4070	4103	274	4103
10156	16681	17452	1375	1237	4075	4094	274	4094
10153	16677	17449	1375	1237	4075	4090	275	4090
10151	16676	17450	1377	1240	4046	4086	275	4086
10152	16676	17448	1376	1237	4096	4076	276	4076
10152	16676	17448	1376	1237	4096	4081	275	4081
